"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","go","bond","USA","prize","million","visit","gate","Dr","Nanotechnology","ceo","band","surgery","und","Li","supporter","manage","online","author","cover","Prof","antenna","language","September","percent"
"2","release","pair","Alon","found","total","website","behave","Medicine","investment","Education","UK","train","der","nanosheet","Ben","wwwlblgov","appear","co","dividend","Prize","re","Hebrew","relation","green"
"3","full","possibility","surgical","Nobel","consideration","please","plane","Rappaport","Russell","teaching","proud","drop","die","idea","scholarship","visit","Co","corresponding","option","President","crack","engine","Assistant","oil"
"4","press","bilayer","lecturer","im","date","scienceenergygov","junction","cavity","star","Yanai","silver","Robotics","von","fact","choose","topic","pore","title","accordance","Harvey","climate","hour","tube","disorder"
"5","atmosphere","superconductivity","Mechanical","auch","repurchase","xenon","boron","nm","financial","participate","impurity","route","fr","North","always","Olympic","Chang","Thomas","May","dean","spokesperson","smoke","printing","color"
"6","powder","Mooc","Germany","prizes","skin","unclassified","pulse","Electron","negative","teach","sustainability","dielectric","mit","orbit","talk","eventually","coauthor","Lee","stock","Environmental","microstructure","master","Mayor","red"
"7","nanoribbon","vapor","procedure","pioneer","platinum","proposal","billionth","Schulich","comprise","Intel","brighter","photoelectron","den","reality","land","Mars","Al","cancerous","repurchase","distinguished","photograph","earn","player","shell"
"8","actually","poor","Netherlands","Technologies","approximately","save","planet","emphasize","constitute","opening","sun","root","das","consumption","Zisapel","actual","wang","activate","August","Laureate","ceramic","begin","Bloomberg","blue"
"9","coa","tc","NASA","Mr","neutron","Doudna","stack","NCEM","complementary","event","attention","child","des","flat","panel","Kavli","Michael","Feng","February","civil","bone","welcome","Boaz","al"
"10","hydrogel","signature","Italy","wurde","December","donor","ten","Rambam","Berrie","Microsoft","collaborative","introduce","eine","creativity","doctorate","Laboratories","Liu","Communications","March","winner","happen","camera","ecosystem","war"
"11","military","titanium","France","mystery","conclude","remark","lifetime","Erez","Rd","attend","valley","everyone","werden","rule","hear","stripe","Crommie","Yang","April","Nobel","fracture","Somos","module","Zuckermann"
"12","medium","mask","Blavatnik","meeting","June","defense","mirror","Organic","positive","school","Agency","invasive","auf","consider","honorary","melt","nanopore","primarily","gallium","french","fusion","label","Golany","attack"
"13","BizTEC","ring","discussion","General","Sealantis","cage","linear","Ilan","cash","Google","World","quickly","dem","America","ask","sport","Chen","movement","November","laureate","toughness","pollutant","revolutionize","oxidation"
"14","pacemaker","cuprate","error","frontier","sale","pines","cold","Cohen","expansion","Chief","Uri","height","ist","practice","Zohar","Sandia","ultrasound","tooth","ordinary","elect","Ritchie","bachelor","install","sugar"
"15","Saykally","package","Canada","manager","adhesive","photosynthesis","excess","cloud","Hasman","chairman","Ziv","Physic","sich","Ka","fibril","alter","David","processes","Andrew","Physics","Somorjai","Studies","tremendous","viable"
"16","Titan","agent","Force","trend","nuclei","copy","femtosecond","Ruth","view","educational","consortium","get","ein","revolutionary","criterion","Brookhaven","Prendergast","corrosion","Viterbi","founde","millimeter","phd","success","stabilize"
"17","optically","scheme","Stephen","durch","proton","producing","complexity","unter","Hawking","speak","Sijbesma","limitation","JOANNEUM","broader","session","differ","heterostructure","nanocomposite","compensation","Machluf","potassium","finally","society","fold"
"18","friend","coil","Keasling","Weiz","acquisition","bacteria","trap","dislocation","httpwwwlblgov","teacher","medal","egg","aus","wire","fascinating","fit","round","Beamline","manganese","Computer","expensive","air","thank","random"
"19","aware","split","Air","representative","healing","nucleic","define","minor","final","founder","Sivan","Shen","zu","circle","deputy","series","Yu","pr","noise","students","want","offering","vom","commercially"
"20","width","coli","Japan","chinese","nucleus","fullerene","thickness","ACS","prediction","recipient","Defense","vanadium","wird","giant","agricultural","Max","Peter","resist","Einstein","Asst","cadmium","history","message","cement"
